Link,TotalHit,D1,D2,D3,D4,D5,D6,D7,TXUtilization,MaxUtil,Bandwidth(Kbps)
5689,0,44.9599990844727,52.0699996948242,45.9900016784668,43.9099998474121,43.9799995422363,43.8199996948242,43.0499992370605,15.8000001907349,52.0699996948242,182141.0
13722,0,20.9002304077148,22.202169418335,17.1879577636719,19.4828643798828,18.33349609375,18.3328189849854,17.2770519256592,3.62678028276044,22.202169418335,203107.0
8649,0,49.6882286071777,47.7130737304688,50.1712455749512,43.6260223388672,54.7703742980957,49.0466842651367,50.0364265441895,9.15318271473709,54.7703742980957,158403.0
1413,1,56.0454025268555,50.8058624267578,49.5899467468262,63.9069786071777,72.63037109375,70.8627853393555,81.0771408081055,16.8063018286179,81.0771408081055,309373.0
6322,0,38.9863586425781,31.5184383392334,25.5004177093506,28.9986915588379,32.2042465209961,30.1104698181152,32.3514747619629,12.4535168578022,38.9863586425781,396708.0
8164,0,38.310001373291,35.3199996948242,34.689998626709,42.5299987792969,44.0699996948242,30.1800003051758,40.2099990844727,15.3999996185303,44.0699996948242,281550.0
12926,0,64.3454742431641,65.9186553955078,70.1457824707031,63.7694702148438,70.3719329833984,66.4674377441406,68.8372192382813,10.0181799995948,70.3719329833984,308525.0
10262,0,21.8600006103516,25.0,15.8100004196167,29.9500007629395,23.7099990844727,18.6900005340576,15.6199998855591,3.35999989509583,29.9500007629395,184475.0
4199,0,55.9900016784668,54.5999984741211,51.8600006103516,53.6699981689453,50.0999984741211,51.0499992370605,51.2299995422363,8.8100004196167,55.9900016784668,949452.0
12544,0,54.9756164550781,35.4536170959473,37.9305610656738,50.2892990112305,52.1696357727051,50.7227897644043,46.0276794433594,28.8612500631301,54.9756164550781,158403.0
10148,0,50.7599983215332,50.6500015258789,48.7999992370605,44.9199981689453,45.75,46.2999992370605,46.1800003051758,7.28999996185303,50.7599983215332,436308.0
8542,0,0.00156576919835061,0.00155785901006311,0.00211652205325663,0.0,0.0,0.0,0.0,0.00381971872088356,0.00211652205325663,10226.0
14382,0,31.7930946350098,30.6052951812744,27.4699363708496,34.4786033630371,27.7197933197021,26.638370513916,30.0498313903809,5.31254385003963,34.4786033630371,203107.0
10314,0,0.819999992847443,0.879999995231628,0.589999973773956,0.469999998807907,0.5,0.699999988079071,0.529999971389771,7.76999998092651,0.879999995231628,159749.0
14831,0,30.008056640625,26.8250598907471,28.3971691131592,38.3979301452637,25.5976276397705,23.2131519317627,15.3465948104858,9.45559940468299,38.3979301452637,158403.0
3380,0,14.289999961853,8.64000034332275,4.8600001335144,15.8599996566772,10.2299995422363,17.4899997711182,13.3400001525879,5.01000022888184,17.4899997711182,204746.0
2086,0,46.5900001525879,53.1800003051758,57.0800018310547,49.7000007629395,64.8899993896484,56.0,54.2400016784668,8.01000022888184,64.8899993896484,223213.0
